principal,resource,action,effect,start,end
alice,db-a,read,allow,2026-09-05T09:00Z,2026-09-05T12:00Z
alice,db-a,read,deny,2026-09-05T10:30Z,2026-09-05T11:30Z
alice,db-b,write,allow,2026-09-05T09:00Z,2026-09-05T12:00Z
bob,db-a,read,allow,2026-09-05T09:00Z,2026-09-05T10:00Z
bob,db-a,read,allow,2026-09-05T10:00Z,2026-09-05T11:00Z
other0,db-z,read,allow,2026-09-05T09:00Z,2026-09-05T12:00Z
other1,db-z,read,allow,2026-09-05T09:00Z,2026-09-05T12:00Z
other2,db-z,read,allow,2026-09-05T09:00Z,2026-09-05T12:00Z
other3,db-z,read,allow,2026-09-05T09:00Z,2026-09-05T12:00Z
other4,db-z,read,allow,2026-09-05T09:00Z,2026-09-05T12:00Z
other5,db-z,read,allow,2026-09-05T09:00Z,2026-09-05T12:00Z
other6,db-z,read,allow,2026-09-05T09:00Z,2026-09-05T12:00Z
